Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Office,District,Primary Outcome,Runoff Outcome,clean_name,Party,name,office,party,state,district,candidate_status,incumbent_challenge,first_file_date,receipts,disbursements,cash_on_hand_end_period,debts_owed_by_committee,Congress Type
,,,,,,,,,,,,Alexandre Zajic,,"ZAJIC, ALEXANDRE",H,DEM,NY,1.0,N,O,2022-03-04,0.0,0.0,0.0,0.0,House
Alexandria Ocasio-Cortez,Female,Latino (Puerto Rican),,,Yes,No,New York,Representative,14,Won,,Alexandria Ocasio-Cortez,DEM,"OCASIO-CORTEZ, ALEXANDRIA",H,DEM,NY,14.0,C,I,2017-05-10,12471242.79,11344694.85,5151904.2,0.0,House
Alexis Martinez Johnson,Female,Latino,,,No,No,New Mexico,Representative,3,Won,,Alexis Johnson,REP,,,,,,,,,,,,,
,,,,,,,,,,,,Alexis Martinez Johnson,,"MARTINEZ JOHNSON, ALEXIS",H,REP,NM,3.0,C,C,2022-01-20,303535.55,301184.5,2351.05,9387.5,House
,,,,,,,,,,,,Alfeia Devaughn-Goodwin,,"DEVAUGHN-GOODWIN, ALFEIA DEVAUGHN-GOOD",H,REP,PA,5.0,N,C,2022-02-05,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Alfred Decillis,,"DECILLIS, ALFRED MICHAEL",H,DEM,NY,11.0,C,C,2017-05-19,33535.99,33535.99,0.0,0.0,House
,,,,,,,,,,,,Alfred Lawson,,"LAWSON, ALFRED JR",H,DEM,FL,2.0,C,I,2009-03-06,829346.62,946380.51,50357.7,0.0,House
,,,,,,,,,,,,Ali Jordan,,"JORDAN, ALI",H,NNE,CA,27.0,N,C,2021-09-09,0.0,0.0,0.0,0.0,House
Alia Garcia,Female,White,,,No,Yes,Texas,Representative,23,Lost,,Alia Garcia,REP,,,,,,,,,,,,,
,,,,,,,,,,,,Alia Garcia-Ureste,,"GARCIA-URESTE, ALIA",H,REP,TX,23.0,C,C,2017-11-16,158785.83,159460.72,0.0,0.0,House
,,,,,,,,,,,,Aliena Kern,,"KERN, ALIENA JEANENE",H,DFL,MN,5.0,N,C,2016-02-08,0.0,177.38,0.0,15842.77,House
Alisha Shelton,Female,Black,,,No,No,Nebraska,Representative,2,Lost,,Alisha Shelton,DEM,"SHELTON, ALISHA",H,DEM,NE,2.0,C,C,2021-07-05,340913.94,360381.22,-3682.06,0.0,House
Alison Hayden,Female,White,,,No,No,California,Representative,14,Won,,Alison Hayden,REP,"HAYDEN, ALISON",H,REP,CA,14.0,N,C,2019-08-02,0.0,0.0,5345.0,2300.0,House
,,,,,,,,,,,,Alix Toulme,,"TOULME, ALIX JACK CHRISTOPHER MR. JR",H,DEM,FL,14.0,N,C,2020-12-03,0.0,0.0,0.0,0.0,House
,,,,,,,,,,,,Alixandria Guzman,,"GUZMAN, ALIXANDRIA",H,08,AZ,8.0,N,C,,0.0,0.0,0.0,0.0,House
